customer_name,contact_name,lat,lng,tags
Northville,Northville,45.1555313,-98.5792629,SD
Newell,Newell,44.7147082,-103.4207436,SD
Nisland,Nisland,44.6730407,-103.5535258,SD
Boyceville,Boyceville,45.0435742,-92.0410145,WI
Clark,Clark,44.877743,-97.7331411,SD
Naples,Naples,44.7716324,-97.5117492,SD
Clara City,Clara City,44.9549593,-95.3664045,MN
Bowler,Bowler,44.8630295,-88.9820527,WI
Plattsburgh,Plattsburgh,44.6994873,-73.4529124,NY
Ogdensburg,Ogdensburg,44.6942291,-75.4863364,NY
Clear Lake,Clear Lake,44.7457977,-96.6825584,SD
Onida,Onida,44.7080379,-100.059845,SD
Belfast,Belfast,44.4259092,-69.0064234,ME
Philip,Philip,44.0394329,-101.6651441,SD
Augusta,Augusta,44.3106241,-69.7794897,ME
Gardiner,Gardiner,44.2300698,-69.7753222,ME
Hallowell,Hallowell,44.2859022,-69.7908786,ME
Waterville,Waterville,44.5520105,-69.6317121,ME
Zumbrota,Zumbrota,44.294132,-92.6690806,MN
Hobart,Hobart,44.499248,-88.149862,WI
Bellevue,Bellevue,44.44416,-87.920099,WI
Suamico,Suamico,44.6319369,-88.0392708,WI
Embarrass,Embarrass,44.6655362,-88.7073234,WI
Central City,Central City,44.3658176,-103.772421,SD
Deadwood,Deadwood,44.376651,-103.7296416,SD
Pierre,Pierre,44.3683156,-100.3509665,SD
De Smet,De Smet,44.3874697,-97.5503541,SD
Oldham,Oldham,44.2274712,-97.3078459,SD
Whittemore,Whittemore,44.2336299,-83.8030424,MI
West Branch,West Branch,44.2764083,-84.2386132,MI
New Underwood,New Underwood,44.0933202,-102.8362824,SD
Auburn,Auburn,44.0978509,-70.2311655,ME
Lewiston,Lewiston,44.100351,-70.2147764,ME
Lake City,Lake City,44.4494119,-92.2668435,MN
Rockland,Rockland,44.1036915,-69.1089294,ME
Oacoma,Oacoma,43.7961053,-99.3956571,SD
Colman,Colman,43.9824719,-96.8144974,SD
Nunda,Nunda,44.1621934,-97.0189491,SD
Minnesota City,Minnesota City,44.0938521,-91.7495959,MN
Portland,Portland,43.661471,-70.2553259,ME
South Portland,South Portland,43.6414716,-70.2408811,ME
Westbrook,Westbrook,43.6770252,-70.3711617,ME
Draper,Draper,43.9260994,-100.5404127,SD
Murdo,Murdo,43.8883224,-100.7129143,SD
Bath,Bath,43.9106353,-69.8206023,ME
Little Falls,Little Falls,43.0434039,-74.8595958,NY
Cottonwood,Cottonwood,43.9669341,-101.9059831,SD
Endeavor,Endeavor,43.7158123,-89.4662326,WI
Chamberlain,Chamberlain,43.810828,-99.3306556,SD
